"Year","State","Type","Production","Chemical","Materials","Unit","Value"
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",0.777
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SULFENTRAZONE = 129081)"," AVG",0.203
2017,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",0.116
2017,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.566
2017,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.042
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",1.5
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",1.6
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CAPTAN = 81301)"," AVG",4.1
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYMOXANIL = 129106)"," AVG",1
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",1.5
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FAMOXADONE = 113202)"," AVG",1
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",1.5
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(MEFENOXAM = 113502)"," AVG",1.1
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",1.4
2017,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",1.5
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",1.9
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(ORYZALIN = 104201)"," AVG",1.5
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",2.4
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",1.1
2017,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SULFENTRAZONE = 129081)"," AVG",1
2017,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",1.1
2017,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.5
2017,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",1.7
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",0.204
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",0.335
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",9.176
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",0.328
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",0.219
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.17
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",0.027
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",0.998
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",0.409
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",1.445
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",0.094
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.759
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110008)"," AVG",0.027
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM-L = 110009)"," AVG",0.027
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.026
2015,"OREGON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",41
2015,"OREGON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",17
2015,"OREGON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",34
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",0.314
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",0.55
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",11.597
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",0.491
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",0.327
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.28
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",0.032
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",1.055
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",0.852
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",1.996
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",0.097
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",2.908
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110008)"," AVG",0.075
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM-L = 110009)"," AVG",0.075
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.05
2015,"OREGON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",121
2015,"OREGON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",31
2015,"OREGON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",76
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",1.5
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",1.6
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",1.3
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",1.5
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",1.5
2015,"OREGON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",1.6
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",1.2
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",1.1
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",2.1
2015,"OREGON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",1.4
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",1
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.7
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110008)"," AVG",2.7
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM-L = 110009)"," AVG",2.7
2015,"OREGON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",1.9
2015,"OREGON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",2.9
2015,"OREGON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",1.9
2015,"OREGON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",2.2
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",0.222
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",0.332
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",9.875
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYMOXANIL = 129106)"," AVG",0.154
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",0.294
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FAMOXADONE = 113202)"," AVG",0.154
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",0.196
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",0.06
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.169
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",0.021
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",0.943
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",0.291
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",0.75
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",0.468
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",0.103
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",0.108
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.192
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.026
2015,"WASHINGTON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",30
2015,"WASHINGTON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",43
2015,"WASHINGTON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",42
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",0.242
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",0.332
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",10.063
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYMOXANIL = 129106)"," AVG",0.234
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",0.464
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FAMOXADONE = 113202)"," AVG",0.234
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",0.31
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",0.094
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",0.169
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",0.031
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",1.262
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",0.654
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",0.889
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",0.468
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",0.179
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",0.18
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",2.196
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",0.047
2015,"WASHINGTON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",93
2015,"WASHINGTON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",93
2015,"WASHINGTON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",96
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," AVG",1.1
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYMOXANIL = 129106)"," AVG",1.5
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG",1.6
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FAMOXADONE = 113202)"," AVG",1.5
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG",1.6
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG",1.6
2015,"WASHINGTON","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," AVG",1.5
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(DIURON = 35505)"," AVG",1.3
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(PARAQUAT = 61601)"," AVG",2.3
2015,"WASHINGTON","BEARING","APPLICATIONS","HERBICIDE","(SIMAZINE = 80807)"," AVG",1.2
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG",1
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," AVG",1.7
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," AVG",1.7
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," AVG",1.8
2015,"WASHINGTON","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG",1.9
2015,"WASHINGTON","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG",3.1
2015,"WASHINGTON","BEARING","APPLICATIONS","(PHOSPHATE)"," "," AVG",2.2
2015,"WASHINGTON","BEARING","APPLICATIONS","(POTASH)"," "," AVG",2.3
